what,kind,bundleId,bundleVersion,description,time
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1395859429593
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1395859429593
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1395859429593
java.vm.specification.version,sysinfo,,,"1.7",1395859429593
java.vm.vendor,sysinfo,,,"Oracle Corporation",1395859429593
java.vm.version,sysinfo,,,"22.0-b10",1395859429593
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1395859429597
started,bundle,com.android.ide.eclipse.ddms,22.2.0.v201309112335--822323,"com.android.ide.eclipse.ddms",1395859429921
started,bundle,org.eclipse.equinox.p2.extensionlocation,1.2.100.v20110815-1419,"org.eclipse.equinox.p2.extensionlocation",1395859430189
started,bundle,org.eclipse.equinox.p2.artifact.repository,1.1.101.v20110815-1419,"org.eclipse.equinox.p2.artifact.repository",1395859430264
started,bundle,org.eclipse.equinox.p2.publisher,1.2.0.v20110815-1419,"org.eclipse.equinox.p2.publisher",1395859430302
started,bundle,org.eclipse.equinox.p2.touchpoint.eclipse,2.1.1.v20110815-1419,"org.eclipse.equinox.p2.touchpoint.eclipse",1395859430303
started,bundle,org.eclipse.equinox.p2.transport.ecf,1.0.0.v20111128-0624,"org.eclipse.equinox.p2.transport.ecf",1395859430687
started,bundle,org.eclipse.ecf.filetransfer,5.0.0.v20110531-2218,"org.eclipse.ecf.filetransfer",1395859430691
started,bundle,org.eclipse.ecf.identity,3.1.100.v20110531-2218,"org.eclipse.ecf.identity",1395859430702
started,bundle,org.eclipse.ecf,3.1.300.v20110531-2218,"org.eclipse.ecf",1395859430712
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer.httpclient",1395859430723
started,bundle,org.eclipse.ecf.provider.filetransfer,3.2.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer",1395859430727
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1395859439699
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1395859439806
started,bundle,org.python.pydev.shared_ui,2.8.2.2013090511,"org.python.pydev.shared_ui",1395859441413
started,bundle,org.python.pydev.shared_core,2.8.2.2013090511,"org.python.pydev.shared_core",1395859441435
started,bundle,org.python.pydev.debug,2.8.2.2013090511,"org.python.pydev.debug",1395859441511
started,bundle,org.python.pydev.core,2.8.2.2013090511,"org.python.pydev.core",1395859441990
started,bundle,com.python.pydev.analysis,2.8.2.2013090511,"com.python.pydev.analysis",1395859442140
started,bundle,org.python.pydev,2.8.2.2013090511,"org.python.pydev",1395859442140
started,bundle,org.python.pydev.shared_interactive_console,2.8.2.2013090511,"org.python.pydev.shared_interactive_console",1395859442157
started,bundle,org.eclipse.debug.core,3.7.1.v20111129-2031,"org.eclipse.debug.core",1395859442158
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1395859442221
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1395859442273
started,bundle,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui",1395859442352
started,bundle,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui",1395859442415
started,bundle,com.android.ide.eclipse.traceview,22.2.0.v201309112335--822323,"com.android.ide.eclipse.traceview",1395859443605
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1395859446913
closed,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1395859446951
started,bundle,org.eclipse.equinox.p2.updatesite,1.0.300.v20110815-1419,"org.eclipse.equinox.p2.updatesite",1395859447043
started,bundle,org.eclipse.equinox.p2.publisher.eclipse,1.0.0.v20110815-1438,"org.eclipse.equinox.p2.publisher.eclipse",1395859447369
started,bundle,org.eclipse.equinox.p2.director,2.1.1.v20111126-0211,"org.eclipse.equinox.p2.director",1395859447375
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.garbagecollector",1395859447382
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395859454751
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395859515737
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1395859515757
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395859546210
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1395859594214
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1395859594316
started,bundle,org.eclipse.ant.ui,3.5.101.v20120110-1739,"org.eclipse.ant.ui",1395859594481
error,log,,,"",1395859595110
error,log,,,"",1395859595146
error,log,,,"Failed to load properties file for project 'WorkoutApp'",1395859595175
started,bundle,org.eclipse.jdt.launching,3.6.1.v20111006_r372,"org.eclipse.jdt.launching",1395859595193
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1395859595467
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1395859595473
started,bundle,org.eclipse.jgit,1.3.0.201202151440-r,"org.eclipse.jgit",1395859595960
started,bundle,org.eclipse.egit.core,1.3.0.201202151440-r,"org.eclipse.egit.core",1395859595979
started,bundle,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui",1395859596014
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395859617241
started,bundle,org.eclipse.wb.core.lib,1.3.0.r37x201202052311,"org.eclipse.wb.core.lib",1395859618044
started,bundle,org.eclipse.wb.core,1.3.0.r37x201202052311,"org.eclipse.wb.core",1395859618151
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395859622142
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395859687169
started,bundle,org.python.pydev.parser,2.8.2.2013090511,"org.python.pydev.parser",1395859689087
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1395859689087
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1395859689088
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395859691548
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395859738388
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1395859738395
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1395859738396
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395859743876
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395859792989
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1395859792995
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1395859792995
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395859799795
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395859803664
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1395859803681
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1395859803682
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395859812461
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395859841743
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1395859841752
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1395859841752
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395859845480
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395859849353
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1395859849365
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1395859849365
